video_id,video_name,comment_id,comment,username,class
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),UgzVeQulEul4RuymdZ94AaABAg,"Vey well spoken, very relatable and enjoyable way of teaching",TriDyl,ham
g9mXZhQOKMQ,Things Got Wild At Coachella!! | The Night Shift,UgwAOLs8jkJE6dtjUKJ4AaABAg,the talk about the coachella bit where hes talking under blanket was much needed glad he included it,potword,ham
cXwIZ8ehIKE,Nightly News Full Broadcast - April 21st,UgxvlTlz3lW_AjYy8Bh4AaABAg.9on8B-UkcrP9onFVhocowF,"We'll get through by riding these next several years and a few decades like ocean waves, one day at a time. 

However, how much we have to go through is determined by people individually and collectively, as well as all country leaders.",Selah,ham
BZ07ZV3kji4,Elon Musk’s SpaceX Starship rocket explodes after launch  – BBC News,UgybtzOI7Xz0jduydFB4AaABAg,"Falcon 9 has had more launches than any rocket in history, and not a single failure. An impressive record. Starship will get there.",See Above,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oeaEeRkRkR,@Maxwell Clips I’m,Shayo Santos,ham
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),UgyUVJ7s3RCm-OwF6bt4AaABAg.9UgbifY8_Ho9oaa6Xn3PHJ,+1,Collins Nour,ham
k2FuHR0vZkU,I Scheduled This Video in 2013,UgxjniLlxS11G9asJEd4AaABAg.9oFZnR4-pBg9omJbHjy2Rq,That’s crazy! He must be using hacks!,Ben’s Lego Channel,ham
I95Sk0PprvQ,SOLO in a GOLD ONLY Squad Game Mode! (Fortnite),UgwISS9V_uLPpr65UzB4AaABAg,Fortnite is a game like no other. TG is literally playing as a gold banana while using the ODM gear. You’re videos are great man.,NotFunnyGuy,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Ugz9zPJiFvpqnhZ-hWh4AaABAg.9oXG4FVUsel9oXX20stRNe,"Not just right now bro but ever, I couldn’t name you one female even close to what zandos or cristale can do in the uk",whos who,ham
7NkSdfPOgE8,They are saying this is the CALL OF DUTY KILLER,UgzMEYjSpn8XFJ3uypJ4AaABAg,"I still remember how everyone didn't have any high expectations with this game. The release window, with how poor Cod is doing atm, is probably gonna do this game a huge favour",White Asian,ham
1qhaxUh6OKk,SIDEMEN MUSIC BATTLE,UgwhwvaRbW_Ro1WwrAF4AaABAg,"when the bass comes in on stan, ain't nothing beating it ever. literally makes my heart fall out my arse",Come Fast To Get Into My Body,spam
qhL6BYHeh3I,[ASMR] 도자기 키캡 1시간,Ugx95glnCkAwlBaRg2h4AaABAg,"Oh I love this! Wow I remember the original video and I thought “what a fantastic sound and beautiful keyboard!”
So it’s so nice to see AND hear it again! ❤️",Talik,ham
qUzpCqXZIYw,Fastest Android EVER vs iPhone!,Ugx0IFmZmWyau6TKHYd4AaABAg,"The jump from the Last ROG Phone in camera quality is genuinely impressive. The camera was the main quality holding th last phone back, and they seem to have fixed it. The ROG Phone 7 Ultimate is like the unofficial Android Final Boss now.",MightyCole,ham
rXKjq6bZrsM,"Minecraft, But Any SCARY Build Hack, You Get",Ugzmme0xV1zVgcmQynx4AaABAg,I love how Ethan doesn’t realize the microphone even though is like a few centimeter away😂,Purna Wisesa Pranarhadi,ham
cXwIZ8ehIKE,Nightly News Full Broadcast - April 21st,Ugyf99hxUsrksdc5xpp4AaABAg.9onE6r5V-9_9onGL-0iwK8,"Robert Nendel, Actually, the Supreme Court has no authority to enforce its decisions. It's neither a legislative nor a law enforcement body, it's function is to interpret the Constitution as it perceives it to mean. Any state legislature or law enforcement agency could ignore SC rulings & it couldn't do anything about it.",Marie Smith,ham
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),Ugxd_5ZYw3TV82mWz5d4AaABAg,"Thank you.  Just what I needed to watch.  My hubby and I are directors of our farm business and own property, plus small pensions. I am nearly 52, hubby is 55.  We have started to save to retire from the farm, and possibly live on rental income, I'd really appreciate you go LIVE and talk about how to earn passive income online and retire comfortably, let’s say $1M.",Patricia Carlos,ham
0FvBxPVgv7g,When Trash Talk Goes Wrong in Boxing: Eddie Hall vs Hafthor Bjornsson,UgzAbnU8pzOly4p2ID54AaABAg,LMAO...that's classic. The little boy just crackin up..best part of the whole press conference.,Phuc Yeu,ham
U7PEYckcVZs,ASMR 😴🌙 - Personal Attention While You're Sleeping ♡✨(SLEEPY ATTENTION 💙💤✨),UgxAi7mBIO2C1XSHnh14AaABAg,this video actually paid my rent and cleared my acne!!! thanks batala!!!!,blueberry computer ʕ •ᴥ• ʔ,ham
8TlrXc3TYgs,I bought every MacBook Ever.,UgwGtzdQZnFA1Szh9Z54AaABAg,"Man, you cant miss the dedication in these videos... High quality as always!",🍂Leafy Cottage🍃,ham
qUzpCqXZIYw,Fastest Android EVER vs iPhone!,UgyMUDEiXd8oLUgqkiJ4AaABAg,"Would love to see some dedicated videos on the budget-midrange range phones, ones which primarily use the Qualcomm SnapDragon 870 or Mediatek Dimensity 8100.",Jessy-Come Fast To Get Into My Body,spam
KljvA0Arzx8,YoungBoy Never Broke Again - Big Truck [Official Music Video],UgxMWRbL3XpG1wKue7x4AaABAg.9onlS_AEvXZ9ooObCpwIPV,people need to stop using ai fr,Chance Nellum,ham
fCdXvp0tTnc,Restoring a Neglected Chinese Juniper Bonsai,UgwFlwwf72OJiFBnbsB4AaABAg,"Man, I thought the tree at the beginning look good. Didn’t see that coming 👌",El Guzii,ham
WSIuRlbhHuI,UK economy crippled by inflation - are high prices here to stay?,UgwpeWu60BX_QOZhjIh4AaABAg,"Wholesale oil prices today are about the same as September 21, we were paying 137 per litre then. Locally Diesel averages about 167 a litre, the UK's core inflation is about the same as the EU but we are getting ripped off by supermarkets and energy suppliers.",Gary Bird,ham
kRV0iAANQOo,Sold My First Car To Subscribers 🥺,Ugzl4QSmNTbdXzMMINh4AaABAg,"One of the best thing about dude is that he never takes credit for himself when he achieves something. He always respect us, the audience and his team, and he is polite in all his videos. We congratulate ourselves on this achievement. More to comeYy7",100k Challenge with,spam
ih5SInZ93k4,Try Not To Laugh Ț̴̈́r̷̹͐y̸̪͝ ̴̳̔Ņ̴͌o̴̹̕t̴̪͌ ̴̼͘T̶̠͝o̸͔̅ ̷̘̽L̶͌ͅâ̶̦u̴͓͊g̵̫̍h̵̭͊!̸̯̕,UgxC4K9h4IexFfziz614AaABAg.9o_GaGWFeZe9ohnLEcYfli,G DRAGON THE KING G DRAGON,himari riku,ham
GXlckaGr0Eo,ASMR Programming - Coding Pacman - No Talking,UgztG6cwYvVuAwhYOBZ4AaABAg.9iYCqHLeWUK9nvC3NMHTtr,:simley_cat,IOInfinity x 源碼無限,ham
NR5pWBy-6Fk,The Insane Engineering of the M1 Abrams,UgxyrcGJsJo344RjkgJ4AaABAg,"There is no experience in the world quite like cranking up that engine. It wasn't just the A2s+. It was the original A-naughts as well. The anticipation was quite a thrill. Hearing it again here gets me all misty. I miss that 105, too. I miss those days so much.",Chip Cook,ham
3gLknYPi7-U,NLE Choppa - Shake It feat. @RussMillions (Official Video),UgwszDoeux7xOsxfwHx4AaABAg,This right here is ENERGY AT IT'S PUREST MAN,Gabriel FJ,ham
mMaBVfIedFw,Selfie Waves,UgyP_XacedvKWGuPB254AaABAg,I love how Michael’s videos now feel exactly the same as they did 10 years ago.,ɴᴏαʜ𓅱,ham
PkRNFluRMMs,The Billionaire's Daughter | Dream Car Wrap,UgyQPFQK6yzqRFjMUEx4AaABAg,Incredibly well spoken and polite for a 10 yr old nice to know she’s thoughtful of others and not obnoxious moo’s gonna go on to do great things,Browner1998,ham
mMaBVfIedFw,Selfie Waves,UgwYfFGYnlSDLRedMph4AaABAg,watching vsauce always ends more with questions than answers,theleavingroom,ham
qYNONfbUqbE,Inside London Mayfair £65million Refurbishment | Britain's Most Expensive Home | Channel 4,UgzFBtejSE-8xdChR-F4AaABAg,"I am just sat here in the early hours of the morning. What an amazing, amazing house, the man deserves what he gets.  What a down-to-earth successful businessman. Good luck to you pal 🎉",Mark Sproston,ham
UKjacBZE52c,ROBLOX'S BIGGEST UPDATE EVER!!!! 😱😨,Ugzb0aFdCL_kzSw6Ulh4AaABAg.9oo7ros8SpB9ooSZ9oqOms,@Cra-Z-Gaming yes isnt it obvious,mrmrinthefire,ham
qhL6BYHeh3I,[ASMR] 도자기 키캡 1시간,UgwmP9Pd9Ps1gT8mNbF4AaABAg.9ehq0BPzqa79fzU4MgwFLD,"Occasional ""ping"" is the spacebar. It would be great it sounded a little thicker and thockier like thenrest kf the keys",God of Chaos Khorne,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,UgxQ9E69btyWFUBLWLl4AaABAg.9oSd_NTxftz9oUHWXS99Nt,Nah ur name is too funny 😂,quit crying lol,ham
jHv63Uvk5VA,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],UgwLGby-V-iT2NCI_ah4AaABAg,"Move over Marvel, Mike O'Brian's Chat GTP tutorial is the superhero we never knew we needed! His explanation of GPT-3.5 architecture is like watching Iron Man suit up, only instead of battling villains, he's generating realistic text with ease. It's simply mind-blowing! If you're looking for a hero to save you from mediocre language skills, then Mike's tutorial is the one to watch. Trust me, you won't be disappointed. Excelsior",EC,ham
KljvA0Arzx8,YoungBoy Never Broke Again - Big Truck [Official Music Video],Ugz3-t0T9EyftzzxewB4AaABAg,we  appreciate the loyalty you shows us fans  and consistency 💯,Christian Metevier,ham
I95Sk0PprvQ,SOLO in a GOLD ONLY Squad Game Mode! (Fortnite),Ugy9v4Uux9V_TbnDgE14AaABAg,I love his content and his very persistent with his uploads I think we all enjoy that,OggS Khcx,ham
NR5pWBy-6Fk,The Insane Engineering of the M1 Abrams,UgxWOyQoM8B6xkWP0jZ4AaABAg.9ooUf8mK5Hg9opjDq0bzJy,"The voice over and translation is really bad. Please sont that again, your content is amazing but with the voice over it sucks",Piloulegrand,ham
1qhaxUh6OKk,SIDEMEN MUSIC BATTLE,UgyQZIUu3VUXdoyd2A14AaABAg,seeing them all together is so pleasing,Seth McCarthy,ham
1qhaxUh6OKk,SIDEMEN MUSIC BATTLE,UgxOcb7cyTuRv0d_Q9x4AaABAg,Okay the passion is unmatched.....we need more of these,Kudakwashe Mwashayenyi,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,UgxQ9E69btyWFUBLWLl4AaABAg.9oSd_NTxftz9oSvb1qFmAY,Disgusting 🤢,Prepare for your afterlife.,ham
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),UgzTQyFqReRMPwVMwz14AaABAg,"Understanding personal finances and investing will most likely lead to greater financial independence. By being knowledgeable about money and investing, individuals can make informed decisions about how to save, spend, and invest their money.",Dr Jack Liam,ham
kRV0iAANQOo,Sold My First Car To Subscribers 🥺,UgymM87kGschASnR92x4AaABAg.9on8GlXU2aO9onRN9yhobV,"""Aapki maa👵 ki umar kitni honi chahiye?""

""lgnore : 10 years""👍
""1 subscribe : 100 years➕good health💪👍 
""Ignore instant of death""💀😈",AYAN GAMING BD,spam
gjL636ibnII,Exploring Manchester's Abandoned Debenhams: Found 1930s Secrets,UgwaqVQc7XYLjZlGFXZ4AaABAg,"Once again Alistair you have not disappointed us! The two rooms in particular with the lantern skylights were stunning and the winding room with the old lift motors just amazing. Like you said, I do hope that all the architecture is kept by the new developers and better maintained than it has been in the past. Loved that you managed to skip past the security to gain access. Thanks as always for a great video.",Fraser Mathers,ham
UKjacBZE52c,ROBLOX'S BIGGEST UPDATE EVER!!!! 😱😨,Ugz8cK_dS0rx8WT4tpN4AaABAg.9ooR74gwsRp9oog1K2CUdc,Uhm there’s not 30 min in the vid bot,• 𝕣𝕒𝕥𝕥𝕪 𝕣𝕒𝕥𝕤 •,ham
qYNONfbUqbE,Inside London Mayfair £65million Refurbishment | Britain's Most Expensive Home | Channel 4,UgykAUh8X8izctVvgdZ4AaABAg,Absolutely beautiful house!  A real credit to all the guys and girls involved in making it happen.,Özgen Halil - Acumen Finance,ham
