video_id,video_name,channel_name,comment_id,comment,username,class
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg,"Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!!",Kenny Bamidele,0
JdjH8uVSrkI,DEEBLOCK PUBLIC SLAMBALL TOURNAMENT!,Duke Dennis,UgzwhAaF-yFPMY2--UN4AaABAg,They need to bring the official game back so you can go pro 😂,Vladd Wavy,0
g9mXZhQOKMQ,Things Got Wild At Coachella!! | The Night Shift,Mike Majlak Vlogs,UgxDTWj1331_IB53C_F4AaABAg.9oju3Pth-649ojuJu2bFPX,"[MAIN] The duo is going strong, keep going being duo. We support both of you ❤️ [REPLY] https://youtu.be/fSwVNkEBjgY",TarkovTooEasyYT,0
BZ07ZV3kji4,Elon Musk’s SpaceX Starship rocket explodes after launch  – BBC News,BBC News,UgzBI8Py6xGj-UnRmA54AaABAg.9ojVOKdckFm9onG6ZLSnBc,"[MAIN] Holy smokes, that was still amazingly impressive. That behemoth lifting off the ground was a sight to behold! [REPLY] WOW VERY DANGEROUS SIR! 😠😠BUT THIS WHY IM SO LUCKY LIVE IN SUPER INDIA  THE CLEANEST COUNTRY IN THE WORLD 🇮🇳🤗 , WE NEVER SCAM! WE GIVE RESPECT TO ALL WOMEN THEY CAN WALK SAFELY ALONE AT NIGHT AND WE HAVE CLEAN FOOD AND TOILET EVERYWHERE 🇮🇳🤗🚽, I KNOW MANY POOR PEOPLE JEALOUS WITH SUPER RICH INDIA 🤗🇮🇳🤗🇮🇳🤗🇮🇳🤗🇮🇳🤗🇮🇳🤗🇮🇳🤗",INDIA SUPER CLEAN 🇮🇳,0
k2FuHR0vZkU,I Scheduled This Video in 2013,Mogswamp,UgxjniLlxS11G9asJEd4AaABAg.9oFZnR4-pBg9omJbHjy2Rq,[MAIN] You got from 16 years to 26 only in 10 years! Good job! [REPLY] That’s crazy! He must be using hacks!,Ben’s Lego Channel,0
KljvA0Arzx8,YoungBoy Never Broke Again - Big Truck [Official Music Video],YoungBoy Never Broke Again,UgzzGldyCQM4a2RQ8Fd4AaABAg,This man will be remembered for generations 💚💯,nbagod38,0
gjL636ibnII,Exploring Manchester's Abandoned Debenhams: Found 1930s Secrets,Urbandoned,UgzU88csY2XSkdWYTTB4AaABAg.9oh5exgqWj79omNxzItmoa,"[MAIN] For anybody that isn't aware, that building was home to Paulden's store before it was Debenhams.  Manchester had some really good shops back in the day.  Lewis's, Wiles' toy shop, Henry's, Affleck & Brown (saw Santa there via Torchy's rocket ship), Kendal Milne (for posh people), Boots, C&A, Marks & Spencer (if you only wanted clothes that were grey, black, blue or white), Masters on Cambridge St, Woolworths on Piccadilly (major fire in 1979, 10 fatalities that led to the banning of polyeurethane foam in furniture) plus loads of other, smaller but no less important outlets scattered across town. [REPLY] I remember this specific store being part of a disaster mini documentary told by this YouTuber",Tom Ebers,0
rXKjq6bZrsM,"Minecraft, But Any SCARY Build Hack, You Get",Eystreem,UgxpxaehxJFJVX0jLMJ4AaABAg.9oo2-Pc90aj9ooa09P7Gfq,[MAIN] i love the way Ethan was so scared he revealed his most embarrasing secret🤣🤣 [REPLY] yea so fun,Angiza Sidigi,0
IohA4aOxtnA,Sudan army says foreign nationals to be evacuated as Khartoum fighting continues - BBC News,BBC News,Ugw7A6r_9fG0ZyFGnbJ4AaABAg.9ooYdqPXsOn9opJHg0Cbsb,[MAIN] It's rather unfortunate for leaders putting ordinary people in distress because of greed [REPLY] 👍!!!!!!!!!,Daniel Carlson,0
IohA4aOxtnA,Sudan army says foreign nationals to be evacuated as Khartoum fighting continues - BBC News,BBC News,UgzQOnBSRi9jQFThALx4AaABAg,Thank YOU!,Poonsri Srethaphakdi,0
PkRNFluRMMs,The Billionaire's Daughter | Dream Car Wrap,Yiannimize,UgyTnKxDfLC_hB8Qdx54AaABAg,"Love this new format. A good sit down interview with the guest then the car reveal. Enjoyed today, enjoyed it with DMO, Yung Philly, Bav. Keep this format. More great chats with great people with great stories. WINNER",Cephas Makuzva,0
