video_id,video_name,topic_keywords
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,"need,mad,thumbnail,frfr,soooo,hard,real,music,fireeee,bro,knew,name,flow,read,female,main,cold,scary,performance,plugged,glad,rock,baddddd,good,mind,ghost,spitting,man,teezandos,combo,craziest,easy,energy,stupid,nuts,potential,mixtape madness,bad,drill,cristale,warrior,head,engineer,hell,erotic,everytime,pigeon,reply,great,work,crazy,lad,aswell,skin,favourite,photograph,mixtapemadness,high,shit,bloody,fumez"
3gLknYPi7-U,NLE Choppa - Shake It feat. @RussMillions (Official Video),"mad,fkin,fire,beat,hard,collab,game,music,feat,dissapoint,repeat,track,entire,ethic,chloeee,bro,strong,nle choppa,song,big,flow,viral,love,different,grind,main,class,legend,performance,style,fan,glad,respect,russmillions,nle,good,hope,slk,duo,man,way,choppa,video,energy,album,shake,playlist,day,russ,second,shotta,impactante,musical,pure,chemistry,attention,mate,skill,snippet,reply,none,dance,home,work,crazy,official,humour,disappoint,back,career,uk,qujxxj,banger,many"
KljvA0Arzx8,YoungBoy Never Broke Again - Big Truck [Official Music Video],"fire,level,last,hard,real,miss,beat,dead,music,gooo,broke,consistency,ethic,world,special,song,shit,big,ass,flow,different,inspiring,ser,main,black,unnoticed,fan,glad,search,truck,loyalty,greatness,generation,good,wrong,man,undeniable,video,live,ano,guy,incredible,energy,worth,ayyyy,money,roy,conquer,success,never,point,industry,consistent,swillz,omg,feeling,power,set,reply,dope,type,youngboy,youngboy never broke again,official,work,crazy,goat,disappoint,wack,production,part,banger,example"
dMoFcvfd5t4,The Weeknd ft. Future - Double Fantasy (Official Music Video),"erra,adorou,theweekndvevo,surreal,pymojmnp,real,decepciona,ft,music,passion,pos,mejor,qualidade,impossivel,cara,matter,artist,future,effort,aqui,song,errar,forgive,sleeve,overcome,main,mundo,falla,fan,play,clear,video,combinacao,perfecta,one,drop,pra,por,adapt,fantasy,guy,decade,qualquer,ele,weeknd,bad,double,top,coisa,smp,point,lot,school,reply,bom,horrendous,list,merece,official,este,dupla,https,banger,nunca,nivel,beh,arrasou"
mKEphyIbtXo,Ed Sheeran - Boat [Official Video],"feel,усталость,blanket,ticket,last,fire,visual,music,любовь,душа,piece,chef,que,song,current,grief,ed sheeran,love,sorrow,comfort,main,deep,enfin,за,cancion,histoire,перестает,heal,persistent,fois,piekny,think,man,way,fighter,video,ширана,gran,doubt,guy,por,time,которои,композиции,inspiration,life,beautiful,usd,straight,thing,grateful,thank,чувствую,ed,et,sentido,increible,sheeran,reply,safe,story,crash,были,boardwalk,approximate,powerful,home,boat,voice,official,guitar,soul,able,heart,mxm"
JdjH8uVSrkI,DEEBLOCK PUBLIC SLAMBALL TOURNAMENT!,"real,game,hittin,package,manz,damn,grind,play,youtube,tournament,time,hood,word,life,rim,point,proud,type,dude,sponsor,deeblock,loser,need,sc,bro,dunk,big,love,respect,pro,block,video,sore,content,fashooo,dfriga,slamball,fr,reply,right,see,banger,shit,fact,scoring,city,duke,different,main,highlight,good,lil,event,shii,finger,windmill,hella,understanding,injury,year,nasty,official,people,air,classic,public,gang,talk,fucking,lie,lol,man,hand,open,school,dope,great,duke dennis,nice,crazy,next,whole,basketball"
K_l3k7c5-Uo,"Every Time You Score, the Keeper Gets Upgraded","fact,level,absolute,vid,prem,channel,bruh,keeper,effort,goal,boss,love,main,class,much,fraud,professional,cameo,spokesman,trans,good,famous,impact,country,true,gets,ik,video,disastrous,stunt,funny,youtube,many,incredible,positive,score,time,content,bud,cal,insane,beer,top,pure,thing,football,executive,moment,marketing,lot,every,light,small,notch,reply,great,banter,see,stunning,work,fu,nice,surprising,tiktok,part,freezy,focus,general,criminal,upgraded,chrismd,express"
8TlrXc3TYgs,I bought every MacBook Ever.,"bored,air,commitment,level,fact,hard,real,iphone,channel,dedication,ever,passion,challenge,effort,world,quality,function,apple,love,main,evolution,much,legend,fan,mrwhosetheboss,ok,job,seek,deal,good,sheet,true,intresting,man,way,video,research,interesting,guy,content,tech,day,decision,place,excited,bought,amazing,insane,product,thing,thank,actual,joy,lot,every,arun,macbook,account,item,reply,great,master,watch,work,powerful,bank,long,alternative,unique,dude,sheer,series"
Z4c7_QVcKJQ,SIDEMEN EXTREME HOT VS COLD CAMPING,"grand,sure,hard,real,toilet,favorite,vs,bird,porch,surprised,time,thermal,life,inexperience,pound,tent,long,genuine,multiple,love,cozy,tour,fist,iceland,video,guy,fun,top,scared,reply,hotel,dad,happy,gear,many,fact,awesome,jj,main,ice,experience,cold,blast,environment,duo,exact,arc,climax,thing,moment,year,hot,shocked,story,snow,fake,people,part,jump,well,special,extreme,arctic,star,self,sidemen,moaning,episode,way,first,hand,trip,catch,driving,pun,hilarious,coolest,wholesome,glacier,anton,vik,small,camping,great,nice,whole,milk,radio,team"
1qhaxUh6OKk,SIDEMEN MUSIC BATTLE,"golf,couple,world,ultimate,choice,glad,clip,battle,one,time,fax,shocking,soo,thank,petition,obvious,watch,heart,tbh,need,multiple,movie,love,much,ohhh,expensive,tier,force,video,moresidemen,arse,fun,reply,work,banger,rest,many,chill,music,face,different,main,eg,bracket,head,moment,tv,lot,full,list,stan,singing,part,era,sick,shiiiit,song,food,cup,harddd,sidemen,curious,man,way,quiet,funny,passionate,taste,painful,uwuffu,angry,wholesome,vik,final,kryptonite,great,nice,favourite,series"
ih5SInZ93k4,Try Not To Laugh Ț̴̈́r̷̹͐y̸̪͝ ̴̳̔Ņ̴͌o̴̹̕t̴̪͌ ̴̼͘T̶̠͝o̸͔̅ ̷̘̽L̶͌ͅâ̶̦u̴͓͊g̵̫̍h̵̭͊!̸̯̕,"honest,zeland,kid,dumb,quality,pewdiepie,big,prouder,faith,main,development,much,clip,king,fatherhood,good,horrible,wife,famous,baby,true,man,option,father,shooter,meme,funny,video,pewd,guilty,repent,fun,time,holy,life,kind,felix,hell,laugh,young,possible,ally,wholesome,supporter,child,new,reply,sin,figure,total,character,personality,happy,dad,humour,nice,goat,try,family,humor,death,tho,people,problem"
qUzpCqXZIYw,Fastest Android EVER vs iPhone!,"gaming,last,note,iphone,stuff,ever,game,load,couple,asus,intensive,release,comparison,quality,category,ultimate,review,present,big,smooth,vs,fps,router,main,much,performance,mrwhosetheboss,cpu,good,underrated,fastest,think,mobile,way,video,camera,one,chance,test,interesting,prolonged,third,difference,time,shake,entertaining,android,end,amazing,top,year,hot,point,heavy,full,arun,rog,actor,phone,reply,ultra,great,see,box,market,nice,cooler,long,next,well,high,chip,look,battery"
KCHT6a53OqY,Why I Love Comics,"vibe,game,effort,favorite,glad,outside,theodd1sout,one,comic,time,perfect,horror,check,creator,ancient,thank,attention,meal,oat,sarahs,problem,mature,kid,simple,cuss,love,growth,respect,much,appreciation,uncanny,improvement,wonderful,audience,single,video,internet,comics,eldridge,volume,animation,reply,happy,humor,talent,many,church,fact,garfild,artist,com,main,job,sout,good,calvin,relationship,smile,blog,theodd,art,people,masterpiece,unique,special,grown,brand,channel,profile,kill,strip,webcomic,cat,scroll,book,understand,international,web,realistic,man,first,day,tumblr,existence,app,definition,new,great,nice,link"
mMaBVfIedFw,Selfie Waves,"nostalgia,humanity,real,income,question,world,quality,portion,wish,think,micheal,time,perfect,cringe,selfie,thank,type,watch,interpersonal,enough,freaking,related,piece,contest,love,physical,video,intelligence,film,documentary,interesting,guy,content,internet,decade,mathematical,monthly,excellent,minute,reply,happy,mean,music,history,different,main,good,person,cool,picture,topic,musical,thing,people,extreme,channel,case,crime,produce,memory,soundtrack,photo,linguistic,man,way,day,scammer,taste,lovely,waves,aspect,vsauce,school,new,great,old,example,charm"
xLu_YNGAIIY,The Last Dream SMP Video Ever,"shine,therapy,last,hard,sadness,dsmp,run,wish,tear,time,life,soo,emotional,thank,smp,attention,nevef,home,watch,long,family,tommyinnit,ever,waste,sweet,potato,covid,comment,much,short,video,fun,sad,content,grateful,reply,see,gain,happy,rest,many,eternity,cabin,rollercoster,stream,face,dream,history,main,experience,journey,bitter,good,rollercoaster,odd,smile,youtuber,place,gold,edit,inventory,joy,lot,finale,people,special,speedrun,community,center,first,peace,day,cherish,second,beautiful,dreamsmp,young,new,nostalgic,unbelievable,techno,humour,old"
I8eajHyqcPM,GUESS WHAT HAPPENS NEXT CHALLENGE!,"bot,last,absolute,bonus,keep,lunch,tiny,editor,challenge,big,week,demand,rise,main,delightful,much,leavin,slow,good,true,man,way,video,bs,dissertation,dear,due,incredible,entertaining,time,pay,shadrach,gold,tobi,top,mic,let,recount,laugh,eating,isit,progress,point,jjs,minute,proud,wholesome,yt,new,reply,extra,right,report,obvious,slide,fake,fine,singing,part,next,dog,sidemenreacts,guess,well,happens,many"
UKjacBZE52c,ROBLOX'S BIGGEST UPDATE EVER!!!! 😱😨,"bot,take,appreciate,honest,dedication,bruh,ever,kid,bro,update,love,main,much,respect,kreekcraft,lol,video,cutie,roblox,least,content,time,day,baller,anti,kind,grass,sssniperwolf,webcam,hell,moment,vantherz,lot,hilarious,minute,biggest,reply,recent,unbelievable,fake,work,dad,people,pie,problem,touch,let,cheat"
I95Sk0PprvQ,SOLO in a GOLD ONLY Squad Game Mode! (Fortnite),"bot,mode,appreciate,last,slinky,twin,trout,real,icon,keep,hard,game,typical,chapter,challenge,big,name,tbh,different,love,main,job,fantastic,glad,persistent,hope,good,understand,solo,person,man,remember,odm,cool,video,banana,squad,fun,stupid,content,second,gold,amazing,fortnite,itztee,tg plays,fell,gamer,encouraging,sweat,reply,right,great,yessir,super,lobby,work,solid,people,crazy,goat,gear,personality,skin,back,wait"
7NkSdfPOgE8,They are saying this is the CALL OF DUTY KILLER,"need,ubisoft,last,fact,usual,old,call,honest,stuff,game,xdefiant,map,classic,player,tactical,strong,battlefield,impressive,summer,devs,fps,main,division,fan,play,glad,good,launch,hope,think,video,cod,support,fun,time,content,excited,end,beta,winter,duty,movement,controller,competition,thing,minor,actual,attention,faze jev,lot,skill,gameplay,saying,new,reply,recent,great,lobby,non,nice,killer,people,part,alternative,franchise,mw,enough,well,high,shit,gun"
rXKjq6bZrsM,"Minecraft, But Any SCARY Build Hack, You Get","building,minecraft,build,logical,real,microphone,bruh,game,world,desire,sandwich,eystreem,show,entertaining,time,perfect,opposite,word,foundation,declare,press,creative,grim,need,trooper,builder,tiny,eye,big,love,glory,righteous,video,guy,fun,centimeter,reaper,reply,right,get,fact,stuff,different,main,scary,good,giant,bud,thing,secret,lot,null,part,well,terraria,mode,channel,tuna,average,name,bacteria,hack,fan,spectator,firelight,lol,way,father,funny,hand,day,bad,ethan,pranking,great,toggle,try"
d0uQtYjswOY,HIGHLIGHTS | Arsenal vs. Bayern Munich (UEFA Women's Champions League 2022-23),"season,sure,real,norwegian,little,early,game,shot,mccabe,left,effort,player,strong,goal,uefa,foot,vs,main,gas,girl,fan,coyg,bayern,hope,ofc,think,man,way,brilliant,tonight,first,dazn uefa womens champions league,assist,chance,talented,skilled,fun,champions,entertaining,win,excited,amazing,insane,beautiful,football,training,adept,top,strike,year,arsena,lot,arsenal,women,foord,munich,reply,great,watch,highlights,problem,ball,woman,long,next,people,well,heart,team,league,pedal"
WIGGnZNLDIc,The Professor SERIOUSLY TESTED 5v5 vs Abrasive Pro Hoopers,"sport,level,old,abrasive,game,kid,tested,player,entertain,dunk,impressive,big,professor,talk,love,seriously,vs,main,legend,performance,much,fan,play,你很大方,respect,slow,slayin,good,pro,defender,event,true,man,cool,many,front,easy,positive,guy,humble,energy,time,excited,offense,trash,curb,hoopers,hooper,injury,lot,half,npc,professor live,reply,none,great,college,包容歧視街球的籃球員真的不容易,nice,textbook,ball,people,work,long,happy,basketball,dude,team,act,professer,defense"
cXwIZ8ehIKE,Nightly News Full Broadcast - April 21st,"last,welcome,living,question,world,medication,access,enforcement,rich,glad,true,beauty,broadcast,time,body,word,life,thank,family,son,justice,bill,movie,gospel,caring,return,much,thought,fiction,health,effect,money,alive,wow,reply,rust,unaware,happy,pharmaceutical,mega,main,parent,good,manmade,least,decision,company,april,science,news,year,full,finish,story,people,nightly,law,part,meat,dystopian,night,farm,important,case,today,secondary,entire,food,st,class,poor,believe,upstream,state,abortion,artificial,day,importance,coo,taste,great,middle,gon,nbc news,team,dietary"
BCnYOpcd_hs,My Expectations Were Low but… OMG D:,"real,game,quality,access,sticker,country,lamp,lava,time,product,unlimited,point,crap,type,need,page,waste,furniture,big,decent,reaction,mail,option,video,interesting,fun,gift,browser,loud,reply,sale,non,work,fine,instant,slap,fact,less,price,stuff,sharing,speaker,low,main,linus tech tips,infamous,free,good,cool,exact,nfl,least,insane,request,chinese,opt,submit,linus,brand,case,basic,website,pebble,shop,advertising,man,episode,way,store,expectations,certain,tech,strategy,bad,beer,omg,factory,great,premium,device,number,team"
k2FuHR0vZkU,I Scheduled This Video in 2013,"minecraft,sure,blue,superflat,far,miss,channel,stuff,change,quality,future,school,awesome,impressive,big,recording,low,self,love,growth,main,capsule,job,much,timey,scheduled,lol,good,hope,person,cool,man,essence,idea,youtube,video,perspective,boy,open,guy,survive,humble,reality,time,day,enthusiastic,bad,amazing,success,thing,year,moment,lot,encouraging,proud,small,new,reply,mogswamp,see,right,daily,similar,great,people,ball,next,ment,tradition,wise,old,particular,read"
jHv63Uvk5VA,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"follow,string,sure,tarantino,learning,broke,stuff,become,santrel media,world,chatgpt,model,minutes,language,awesome,human,function,friend,different,expresion,main,development,much,technology,clear,explanation,way,idea,video,first,tutorial,easy,accesible,impressed,overall,theory,fun,time,content,potential,chat,complete,amazing,interested,gpt,excellent,year,step,thank,wow,lot,code,power,new,reply,response,great,helpful,informative,sentrel,communication,process,natural,processing,work,creative,user,old,search,generate"
BZ07ZV3kji4,Elon Musk’s SpaceX Starship rocket explodes after launch  – BBC News,"stress,hard,explode,behemoth,tower,booster,starship,rocket,mission,time,scale,reliable,flight,thrust,point,ground,sight,genuine,failure,huge,multiple,goal,much,result,elon,spacex,launch,cluster,fuselage,incredible,bbc news,amazing,explodes,progress,reply,side,powerful,work,bbc,many,wait,fact,future,impressive,hundred,main,job,clear,successful,least,success,thing,news,lot,musk,spirit,entire,enthusiasm,yeehaw,control,clean,cheer,first,test,phume,impressed,shroud,second,holy,major,behold,ship,space,great,next,high,team,aborted"
